# 【理財達人秀】川普喊降息 台股大贏家？大立光跌停 封測.被動高換低？聯發科帶頭 有底部起漲股！2026.09.07
# 理財達人秀 EBCmoneyshow 20260907 https://youtu.be/baoJt33Pky0 method=whisper-small

[00:05] 歡迎收看《最佛心幽默》的財經節目《理財達人秀》
[23:18] 是相當可觀
[23:19] 那當然
[23:20] 以這樣的情況下
[23:21] 大家就開始聯想
[23:22] 因為聯想說
[23:23] 博爾康最主要是做什麼
[23:25] 當然一個來講
[23:26] 當然CPU是一個
[23:27] 他的光學其實
[23:28] 他看得也很好
[23:29] 對
[23:30] 那另外一個來講
[23:31] 就是說他本來在這一塊裡面
[23:33] 他是做
[23:34] 所謂的一個高階的晶片
[23:36] 像紅訊類的晶片等等
[23:38] 對DBR、HK等等
[23:39] 所以這明明來講
[23:40] 就講說
[23:41] 會受惠的
[23:42] 當然就是因為
[23:43] 他有Google的單子
[23:45] 對不對
[23:46] 還有其他這些像Meta
[23:47] 什麼東西
[23:48] 這個HK的單都有
[23:49] 所以這些來講
[23:50] 最主要受惠
[23:51] 我們講應該就是台積電
[23:53] 對不對
[23:54] 晶片的一個受惠者
[23:57] 那可是台積電
[23:58] 基本上當然是
[23:59] 主要這一塊來講
[24:00] 發散出去的
[24:01] 當然最重要的就是風車
[24:03] 是
[24:04] 風裝跟測試
[24:05] 那風車裡面
[24:06] 當然以熱光或是為首
[24:08] 如果以今天這個
[24:09] 看起來就是說
[24:10] 整個風車基本上
[24:11] 都還蠻強的
[24:13] 風車當然就可以涵蓋
[24:14] 說不然Ace可以也好
[24:15] 先進風裝的
[24:16] 細光紙的風裝
[24:17] 都在這裡面
[24:18] 對
[24:19] 那我今天特別把它拉出來
[24:20] 是說
[24:21] 這些是跟波抗的
[24:22] 關聯性是比較大的
[24:24] 對比較大
[24:25] 那熱光當然不用講
[24:26] 不用講
[24:27] 對
[24:28] E在這個台積電下面
[24:29] 晶圓電來講
[24:30] 是主要是測試的部分
[24:32] 所以是AI晶片
[24:33] 就是Ace
[24:34] 這些晶片的一個測試的
[24:35] 一個部分
[24:36] 那旺戲來講
[24:37] 這支當然
[24:38] 我們也
[24:39] 我們也送暖很多次
[24:41] 旺戲主要是做
[24:42] 所謂的探真卡
[24:43] 探真卡
[24:44] 是高階的一個
[24:45] 探真卡側面
[24:46] 那影位是
[24:47] 那訊息來講
[24:48] 主要是CPU
[24:49] 是
[24:51] 那這一塊來講
[24:52] 我先來講一下其實
[24:53] 大哥
[24:54] 熱光
[24:55] 熱光的部分
[24:56] 那最主要是熱光
[24:57] 這一塊來講
[24:58] 它的優勢在哪裡
[24:59] 就是說
[25:00] 大家可以看
[25:01] 上半年大概八塊錢
[25:02] 這個已經確立了
[25:03] 那主要是
[25:04] 它的這個所謂的
[25:05] 風測的這個毛利
[25:06] 是
[25:07] 已經一直拉高
[25:08] 從20來趴
[25:09] 一直拉到
[25:10] 已經大概27趴多
[25:11] 那反而估算是
[25:13] 它大概第四季的時候
[25:15] 第四季的時候
[25:16] 它的這個毛利
[25:18] 有可能拉到
[25:19] 將近30趴
[25:20] 就相高
[25:21] 毛利率往上
[25:22] 是大概最喜歡的
[25:23] 那往上拉的話
[25:24] 基本上
[25:25] 這塊來講就會跳升
[25:26] 所以以這一塊來講
[25:27] 就是最主要
[25:28] 它的一個毛利提升
[25:30] 那另外你可以看
[25:31] 它資本支出很驚人
[25:33] 它四百多億台幣的股票
[25:36] 基本上它的一個
[25:37] 二零二六元支付
[25:38] 調高到大概
[25:40] 三千兩百萬的台幣
[25:42] 三千兩百億的台幣
[25:43] 所以大概一百零五億的美金
[25:45] 所以市場估時說
[25:46] 今年大概看十九塊
[25:47] 二十塊
[25:48] 明年大概看到三十塊
[25:49] 會跳升
[25:50] 對 會跳升
[25:51] 所以這裡來講
[25:52] 我覺得說可以看一下
[25:53] 為什麼
[25:54] 這一波來講
[25:55] 就是從大概七月份
[25:56] 這一波下跌之後
[25:58] 其實拉起來
[25:59] 那這兩根上來以後
[26:00] 它呈現一個橫盤的一個整理
[26:02] 那橫盤整理過後
[26:04] 今天出現了一個
[26:05] 比較大量的一個攻擊
[26:07] 雖然還沒有越過
[26:08] 它這個所謂的
[26:09] 我們講說
[26:10] 這個橫盤整理的
[26:11] 這個相型的一個上演
[26:13] 可是我覺得說
[26:14] 外資竟然買到快兩萬張
[26:16] 我覺得明天有繼續供
[26:18] 如果明天繼續發量供起來
[26:20] 能夠越過這個
[26:21] 所謂的大概在
[26:22] 六百三以上的一個
[26:23] 位置點
[26:24] 那基本上我覺得這一波
[26:26] 還是蠻有機會
[26:27] 風車真的需要領頭要表態
[26:29] 對 可能也因為台積電
[26:30] 還沒表態
[26:31] 所以日月光也比較寒暄
[26:33] 如果你要看到五萬
[26:34] 基本上我覺得有機會
[26:35] 一定要參與的
[26:36] 一定要參與的
[26:37] 所以這一支
[26:38] 大家可以大概參考一下
[26:39] 就是說風車部分
[26:41] 那另外一塊來講就是
[26:43] 被動物件
[26:44] 等一下會來講
[26:45] 你上次有講到
[26:46] 一千塊要賣國劇
[26:47] 五百塊要買國劇的事情
[26:49] 現在怎麼想
[26:50] 等一下要來講
[26:51] 那我先先談一下
[26:52] 就是說整體來講
[26:53] 當然這個三星又
[26:54] 釋出一個利多了
[26:55] 三星年級
[26:56] 第四季來講
[26:57] 可能會長百分之三十
[26:59] 所以被動物件這個
[27:00] 我覺得漲價循環
[27:01] 因為其實來講
[27:02] 就是漲價的這個真正反應出來
[27:06] 應該是下半年
[27:07] 會比較明顯
[27:08] 所以我覺得下半年的EPS來講
[27:10] 每一家
[27:11] EPS應該看起來
[27:12] 還是會相當不錯
[27:14] 那這來講就是說
[27:15] 你會發現說
[27:16] 它有講
[27:17] 就大概主要MLC
[27:19] 還是它的一個重點
[27:20] 所以這個三星
[27:21] 重點
[27:22] 所以MLC現在來講
[27:23] 主要像國劇
[27:25] 華興科這些
[27:26] 那最源頭的這個六一七三
[27:29] 就原料的部分
[27:30] 新商店
[27:31] 現在是直接就噴漲停
[27:33] 對連那個和盛堂
[27:35] 基本上也一樣噴漲停
[27:36] 所以在這來講
[27:37] 就是如果平均漲幅
[27:39] 這個XR級的
[27:41] 平均漲幅到二十五到三十趴
[27:43] 那整個價格上升的格局
[27:45] 就很明確
[27:46] 因為大概它是有這樣的一個講法
[27:48] 這來講就是我大概有
[27:49] 列了一個這樣的一個表出來
[27:50] 大家可以看一下說今天來講
[27:52] 那這個表的一個排序來講
[27:54] 我大概是用這樣的一個排序
[27:56] 你會發現說用季線位置
[27:58] 對那季線位置來講
[28:00] 就是說其實我們講說
[28:02] 季線是一個多空的一個分件
[28:05] 生命線
[28:06] 對大的一個分件
[28:07] 那這來講你會發現
[28:08] 新商店早就越過季線很久了
[28:10] 真的很強
[28:11] 對它已經越過了大概
[28:13] 季線上面的二十三點一趴
[28:15] 所以它整個這一波的彈幅
[28:17] 已經達到這個所謂的
[28:19] 這個反彈的三分之二
[28:21] 這叫做強勢反彈
[28:22] 對非常強勢反彈
[28:24] 那另外來講和生糖也大概拉了
[28:26] 這個季線之上的大概
[28:28] 大概五十六趴左右
[28:29] 所以也是過半
[28:31] 也是過半
[28:32] 所以整體來講你會發現
[28:33] 這個族群
[28:34] 下面這也來講
[28:35] 反倒是都還落後
[28:37] 落後族在下面
[28:39] 落後族在下面
[28:40] 落後族
[28:41] 那其實落後族
[28:42] 你不要看落後族
[28:43] 落後族的業績都很好
[28:44] 先來看國劇好不好
[28:45] 因為國劇真的
[28:46] 七月八號那一天
[28:47] 我們想一個來
[28:48] 很多人覺得破一千塊的國劇是禮物
[28:50] 原諒都不是
[28:51] 你想像那時候說不是
[28:52] 然後七月十九號來逢第一層街
[28:55] 對因為我基本上
[28:56] 我都用三十分鐘可以來看
[28:58] 其實三十分鐘可以
[28:59] 很明確就已經跌破
[29:00] 那其實就算你用日可以看來講
[29:03] 基本上大概也是大概
[29:04] 九百塊左右
[29:05] 就是很確立的一個破線
[29:07] 所以一千塊如果下來
[29:08] 那時候基本上這樣
[29:10] 就是說在下面的時候
[29:11] 我這裡是用一個
[29:12] 所謂的認為說
[29:13] 已經跌太深了
[29:15] 所以去搶一個反彈
[29:16] 就是說三分之一的反彈的位階
[29:18] 那這以來講是五百塊
[29:20] 我就搶七二九
[29:21] 而且吃了一根停板
[29:22] 對一根停板
[29:23] 結果連續兩根漲
[29:25] 所以這一波有賺到一波
[29:27] 那另外我覺得說
[29:28] 他現在已經打一個WD的一個
[29:30] 一個比較明確的一個
[29:32] 右邊的底部已經形成
[29:34] 所以怎麼看
[29:35] 對我覺得說這裡
[29:36] 我會先去佈局一點
[29:38] 又回到你想佈局
[29:39] 那因為他離機線還很遠
[29:41] 第一個那第二個來講
[29:42] 景線的位置點來講也不遠
[29:45] 是所以如果可以拉過景線來講
[29:47] 基本上這波WD有辦法形成
[29:50] 所以以這樣來講
[29:51] 說先佈局一點
[29:52] 然後拉過景線來講可以加碼
[29:54] 是我覺得是有機會
[29:55] 就是說這波看能不能
[29:57] 走一個所謂的WD的一個成型
[29:59] 這個就要聽你說
[30:00] 因為那時候你勇敢
[30:01] 加碼在節目上講出來說
[30:03] 我還想說
[30:04] 結果幸好跌完一根就上去了
[30:06] 現在又是重新加碼點
[30:07] 那另外來講
[30:08] 我認為六四十九預防
[30:10] 是蠻有機會的為什麼
[30:11] 因為以他來講
[30:12] 就是說他是在AI伺服器裡面的
[30:15] 這個所謂的這個成分很大
[30:17] 他做的是所謂的這個CAP
[30:19] 就是固態電容這一塊
[30:20] 那當然前一陣子
[30:22] 一直有在吵說固態電容性上
[30:23] 因為MLCC非常缺
[30:25] 那尤其MLCC裡面的
[30:28] 這個所謂的大容量的一個
[30:30] 電容的部分
[30:31] 那事實上是可以由固態電容
[30:33] 來取代
[30:34] 也就是說在這些像這個GPU
[30:36] 或者Esc的這個晶片
[30:38] 上面的附近的這些
[30:40] 電容來講
[30:41] 對不對 穩定電容來講
[30:43] 基本上它是可以被取代的
[30:44] 所以如果他取代MLCC來講
[30:47] 基本上他的量就很大
[30:48] 那這一塊也是一個固態
[30:50] 他老闆自己出來講
[30:51] 就是說現在來講
[30:52] 一個月大概是七千萬
[30:54] 七千萬顆
[30:56] 可是到十一月以後
[30:58] 會增到八千萬顆
[30:59] 到明年一月被一億
[31:01] 到明年的
[31:02] 上半年來講
[31:03] 會看到1.2億一個月
[31:05] 1.2億一個月
[31:06] 也代表說
[31:07] 他的成長會到百分之七十
[31:09] 所以為什麼說
[31:11] 今年如果EPS看十塊
[31:12] 明年大家估法
[31:13] 估值大概二十塊錢
[31:14] 這是有機會的
[31:15] 因為他的一個
[31:17] 所謂的漲價的一個題材
[31:19] 也有
[31:20] 所以以這樣的情況下來
[31:21] 我覺得說
[31:22] 以今年第二季看來
[31:23] 是大概二點三一
[31:25] 第一季兩塊出頭左右
[31:26] 所以今年四塊
[31:28] 應該是很明確可以達成
[31:30] 所以這一塊看起來
[31:31] 就是說
[31:32] 如果這個高階的比重一直提升
[31:33] 它毛利版就很高
[31:34] 毛利有大概百分之三十五左右
[31:36] 所以這一塊我覺得說
[31:37] 確實對他來講是一個
[31:39] 明年發動的一個利機點
[31:41] 剛剛看到本一筆也真的好低
[31:43] 而且他不是沒有漲
[31:44] 他這波其實很秀
[31:46] 但反彈跟國際差不多
[31:48] 差不多
[31:49] 可是我覺得他
[31:50] 另外一個利機點是
[31:51] 其實他離其長點非常近
[31:54] 就是說這個他的其長點
[31:56] 供上來以後
[31:57] 國際還比較上面一點
[31:58] 所以他落到其長點
[31:59] 下面去打這個底
[32:01] 我覺得說
[32:02] 這裡是一個非常安全的區域
[32:03] 所以目前來講
[32:04] 跟國際差不多
[32:05] 也就是這裡我覺得
[32:06] 也是一個WD的一個
[32:08] 可以介入一個機會點
[32:10] 可以佈局一點
[32:11] 等到穿過這個
[32:12] 所謂的一個
[32:13] 我們講說這個景線位置
[32:16] 基本上發量攻擊的話
[32:18] 有機會攻上
[32:19] 因為他其實離這個
[32:20] 所謂的一個季線最遠
[32:22] 所以以這樣的一個反彈機箱來講
[32:24] 如果這個被動的很多
[32:25] 都已經越過季線很遠
[32:27] 那這些中小型股
[32:29] 都有機會太多
[32:30] 有沒有可能整體足行轉槍
[32:32] 因為這個足群
[32:33] 現在高低位階拉開來了
[32:34] 不像之前每個都在天上飛
[32:36] 所以我覺得可以找
[32:37] 位階比較低一點
[32:38] 至少你反彈的攻擊很大
[32:40] 這邊非常謝謝林翔哥
[32:42] 大立光被降頻的事情
[32:44] 我們先以平常新看待
[32:46] 因為說實話
[32:47] 這波勢頭很強長上去
[32:49] 可是營收沒有跟上
[32:50] 我們可以視為市場上
[32:52] 現在高低位階要做一下轉換
[32:54] 而林翔哥最擅長的就是
[32:56] 由潛力的足群中
[32:58] 找出位階相對比較低的
[33:00] 其實封測股
[33:01] 有非常多這樣的公司
[33:03] 今天日月光燒作表態之後
[33:05] 有沒有其他的封測股會跟
[33:07] 機率是非常高的
[33:08] 還有被動元件
[33:09] 我想國巨從1000塊錢
[33:11] 可以把它賣掉到500塊錢
[33:13] 接回來
[33:14] 雲翔哥是非常有這個評論
[33:15] 這個足群的
[33:16] 那除了國巨有機會之外
[33:18] 剛剛講到像玉邦這類型的公司
[33:20] 也是擔心自己追高
[33:22] 風險比較高的朋友
[33:23] 可以去留意的
[33:24] 整體足群漲價的態勢
[33:26] 確實在下半年會越來越強
[33:28] 好 廣告回來
[33:29] 浩爾哥要上場啦
[33:30] 那浩爾哥也要講
[33:31] 高盛看台股到54000
[33:33] 他說卡看的
[33:34] 可能要比高盛還要再高一點點
[33:36] 等一下理由來跟大家聊
[33:38] 因為看到巴遇雲收
[33:39] 每一檔接出來都非常的漂亮
[33:41] 那當然
[33:42] 如果沒有辦法買很多的個股
[33:43] 次值加動能型的ETF
[33:46] 肯定會是一個
[33:47] 最穩又能標的選擇
[33:49] 好 我們常講
[33:57] 股票往往就是股價
[33:58] 還有他基本面
[33:59] 高低位階的一個轉換
[34:01] 巴遇雲收開出來
[34:02] 有很多公司在續創歷史新高
[34:04] 但是如果股價也在高位階
[34:06] 不敢說
[34:07] 在低位階的
[34:08] 應該就要表態的意思
[34:10] 例如說記憶體
[34:11] 到底有沒有機會呢
[34:12] 來請教浩爾哥了
[34:13] 台股只差800多點
[34:14] 要占新高
[34:15] 但是現在的量
[34:16] 沒有像之前這麼大
[34:17] 恐怕要靠大家來輪流了
[34:20] 那靠什麼呢
[34:21] 巴遇雲收創高
[34:22] 位階還很低的
[34:23] 可能就要起跑了
[34:24] 再來的話
[34:25] 如果用ETF的話
[34:26] 次值加動能型的ETF
[34:28] 說實話不一定會跑輸之外
[34:30] 也很大方在配習
[34:32] 對啊 所以我覺得
[34:33] 當然台股離地型
[34:34] 非常接近
[34:35] 所以這時候大家盡量
[34:36] 從基本面去著手
[34:37] 甚至說可以選擇一些工具
[34:39] 來輔助
[34:40] 那我們首先來看到
[34:41] 在這個上個禮拜五
[34:43] 剛剛其實永榮老師有提過
[34:45] 對 這個非農數據
[34:47] 升息的預期
[34:48] 為什麼非辦那麼強
[34:49] 對啊 你怎麼看這個現象
[34:50] 我覺得很簡單
[34:51] 因為你看這些公司
[34:52] 其實都搭耳熟能詳
[34:54] 都是AI當中
[34:56] 整個一個產業裡面
[34:57] 最社會的大贏家
[34:58] 所以業績確定非常好
[35:00] 未來成長性非常好
[35:02] 所以就抵抗了
[35:03] 所謂升息的一個恐懼
[35:04] 股價是全面性的大漲創高
[35:06] 所以為什麼今天台股
[35:08] 能夠逆勢走高
[35:09] 我覺得跟非辦大漲有關
[35:10] 那這些股票大概都知道說
[35:12] 業績激邦來講
[35:13] 今年都是創下新高的
[35:15] 好 例如說Sendysk跟美光
[35:17] 對不對 機體也在大反攻
[35:18] 連電鋼提到
[35:19] ADR也大漲
[35:20] 台積電 趕快啊
[35:22] 在等你
[35:23] 對 那我覺得其實這個
[35:24] 台積電ADR跟輝達
[35:25] 都非常兵力新高
[35:27] 所以接下來其實當然有機會
[35:29] 所以為什麼高盛在
[35:31] 上個禮拜喊出來說
[35:32] 台股上看54000點
[35:35] 對 他說因為總金
[35:36] 跟貨利成長嘛
[35:37] 然後今年貨利成長62%
[35:39] 明年成長30%
[35:40] 我覺得好像放緩了
[35:41] 但今年已經這麼高
[35:43] 還是維持30%的成長
[35:45] 所以他說其實未來一年
[35:47] 還有兩成的漲幅可以期待
[35:49] 所以預期能夠
[35:50] 上看到54000點
[35:51] 但我認為應該是
[35:52] 55000點
[35:53] 為什麼
[35:54] 因為我覺得明年
[35:55] 資本支出還會再上球
[35:57] 然後台積電跟輝達貨利
[35:59] 能夠看得更好
[36:00] 所以整體上來看
[36:01] 我覺得54000可能有點保守
[36:03] 但我們不能夠看得太好
[36:04] 所以55000
[36:05] 我覺得是差不多合理的位階
[36:07] 所以他是高盛
[36:08] 你是高高為是不是
[36:09] 高高為
[36:10] 雖然沒有我很高
[36:11] 但我們這個
[36:12] 狀志是比較高一點的
[36:14] 好 那我們來看一下這個
[36:16] 台股
[36:17] 因為公布到上禮拜為止
[36:19] 其實很多營收公布出來
[36:20] 你都可以發言到
[36:21] 都是創造率已經高
[36:22] 這一排全部都是嗎
[36:23] 對 全部都是
[36:24] 8月營收創高股票
[36:26] 好多
[36:27] 對 才四天而已
[36:28] 台股就有這麼多創高股票
[36:30] 所以預計到這個禮拜四為止
[36:32] 台股應該有200家以家
[36:34] 公司能夠創造率已經高
[36:35] 所以我覺得這一波台股
[36:37] 大家會覺得好像長得很快
[36:39] 但目前我覺得營收跟大家講
[36:41] 就是說台股9月份創造率已經高
[36:43] 其實有機會
[36:44] 因為營收已經表態給大家看了
[36:46] 那可以看到大部分來說
[36:48] 營收我們講
[36:49] 表現最好是誰
[36:50] 還是記憶體
[36:51] 金豪哥那還有個華王店
[36:53] 對啊 創立史已經高
[36:55] 而且下午好像還入戲
[36:56] 結出來有一些
[36:57] 也創立史新高的記憶體
[36:58] 對啊 像石泉啊
[36:59] 像這個所謂育創啊
[37:01] 望宏啊都創下歷史的新高
[37:03] 所以記憶這個區塊
[37:05] 我覺得目前來看到
[37:06] 9月10號以前公佈營收
[37:08] 應該都會維持一個
[37:09] 創立新高的情況
[37:11] 那今天排面上
[37:12] 這一股票也有表現
[37:13] 雖然說不是這麼亮眼
[37:14] 像間點
[37:15] 像維權店
[37:16] 像信華是直接漲零半
[37:18] 但他們因為就是
[37:20] 營收好的公司能夠轉強
[37:22] 搭配美股的一個強勢
[37:23] 我覺得都可以對於接下來台股
[37:26] 我們講多方輪動格局面
[37:27] 記憶體應該是這種業績比較穩定
[37:29] 未接不高的一個公司
[37:30] 那也可以看到
[37:31] 像我們講的
[37:32] 這個所謂的
[37:33] 激光值的全新 連亞
[37:36] 也都是營收歷史新高
[37:37] 然後有散熱 有宅板
[37:39] 那甚至說像這種
[37:40] 維權店 IC 設計的股票
[37:42] 還有所謂的同波基板
[37:44] 然後跟所謂的部分的風策
[37:46] 這種所謂檢測股票
[37:47] 都是維持強勢的創高
[37:49] 連這個機器人的大營圍
[37:51] 也是營收創造歷史的新高
[37:53] 我覺得都代表說
[37:54] 其實台股在今年
[37:55] 整個 AI 的一個
[37:57] 大餅不斷擴散的情況裡面
[37:59] 很多公司都交出好的成績單出來
[38:02] 那我們來看一下就是說
[38:04] 這樣那股票
[38:05] 我覺得可以當作當中的一個
[38:07] 參考指標
[38:08] 我們的股王要來領先了
[38:10] 因為他上次1988領
[38:12] 今天漲停19215
[38:14] 他也快要創歷史新高了
[38:16] 對 這個可能明天
[38:17] 就有機會創高了
[38:19] 因為畢竟都已經
[38:20] 到歷史新高附近了
[38:22] 大家說來都來了
[38:24] 畢竟 基本上來講
[38:25] 過高的機會就很高
[38:27] 那過高就是
[38:28] 兩萬塊的股票囉
[38:29] 所以台股如果有
[38:30] 兩萬塊的股王
[38:31] 代表說整個高價股的比較
[38:33] 小營會跟著往上蔓延
[38:35] 所以我覺得當然信華
[38:36] 一般人也不會去買他
[38:37] 你可能透過主動行業
[38:38] 去買他
[38:39] 所以應該是有機會
[38:41] 參與他的上漲
[38:42] 那對大多數人來講
[38:43] 他就是精神指標
[38:45] 如果股王是兩萬塊的話
[38:47] 大家可以看到
[38:48] 像今天下午公布出來
[38:49] 川湖的營收也是歷史新高
[38:51] 就有股後的比價
[38:53] 那甚至說我們講
[38:54] 現在一萬塊以下
[38:55] 那種準萬元區的股票
[38:57] 準萬元區的股票
[38:58] 我覺得後續比較活潑一些
[39:00] 那另外可以看到
[39:01] 基地的部分
[39:02] 像華邦電競股價
[39:04] 是有佔到所有捐贈之上
[39:06] 那這時候比較可惜
[39:07] 他大量的高點
[39:08] 大概在這個195%附近
[39:10] 所以我覺得他如果說
[39:11] 接下來能夠
[39:12] 越過大量的高點
[39:13] 這邊的底型完成之後
[39:15] 軍艦就有機會
[39:16] 變成多頭排列
[39:17] 那這以上因為
[39:19] 我們講國際的基地大廠
[39:21] 之前在所謂的8月份
[39:23] 台灣基地在這邊
[39:25] 國際基地在這個位置
[39:26] 那現在國際的基地
[39:28] 已經到了季線以上了
[39:30] 比較正常的回來了
[39:31] 對 所以我覺得
[39:32] 如果說接下來
[39:33] 你看到是美國王三星
[39:34] 還是股價開始補漲的話
[39:36] 整個華邦電 納納克
[39:38] 我覺得這些所謂的
[39:39] 台灣的基地的製造廠
[39:40] 因為營收已經創新高了
[39:42] 股價我覺得接下來
[39:43] 也有機會成天補漲的態勢
[39:44] 那大家會想說
[39:45] 那這兩張股票
[39:46] 一個是位階很高
[39:48] 一個是好像買的時候
[39:50] 不是非常好
[39:51] 所以我們有一些
[39:52] 所謂的工具可以替代
[39:53] 那我們跟大家講
[39:54] 其實在所謂的
[39:55] 經過7月份的股災之後
[39:58] 真的我覺得是一個
[39:59] ETF的篩選期
[40:00] 對 經過股災之後
[40:02] 我們可以去比較說
[40:03] 這段時間裡面
[40:04] 哪一些ETF能夠跑在前面的
[40:06] 也許它就接下來我們講
[40:08] 不管是要擔心升息
[40:10] 或者擔心所謂的
[40:11] 美國其中選舉
[40:12] 也許它會是接下來
[40:13] 比較好表現的一些
[40:14] 相關的指標性的ETF
[40:15] 那我們大家事實上
[40:16] 可以看到
[40:17] 如果以今年以來
[40:18] 跟最近一年
[40:19] 我們比較主要的
[40:21] 市值型跟高股型的ETF
[40:23] 會發生到有一檔
[40:24] 009803 玉山市值動人50
[40:27] 它在今年以來
[40:28] 韓式報酬率是
[40:29] 70.79個百分點
[40:31] 超越了0050
[40:33] 那如果以最近一年的話
[40:35] 它整個報酬率
[40:36] 達到110.97
[40:38] 還是小幅度贏過0050
[40:40] 那當然更多是
[40:41] 超越了高股型的ETF表現
[40:43] 所以代表說
[40:44] 如果不管是
[40:45] 你要比較我們傳統的市值型
[40:47] 或是比較所謂的
[40:48] 韓式比較高的高股型ETF
[40:50] 它都交出一個
[40:51] 非常好的成型單
[40:52] 那我們要說
[40:53] 比市值好像就有點不太公平
[40:56] 我們來去對比
[40:57] 所謂主動型ETF
[40:58] 有沒有落差很大
[40:59] 如果說去對比過去
[41:01] 4個月20265月到
[41:03] 所謂的8月底
[41:04] 這4個月當中
[41:05] 你看到009803
[41:07] 它的這個4個月韓式報酬率
[41:09] 就是8.21個百分點
[41:11] 那如果單就這個
[41:12] 所謂的整體表現的話
[41:14] 它還是超越了981
[41:15] 992 980
[41:16] 那代表說
[41:17] 就算在整個行情動蕩
[41:19] 比較大的時候
[41:20] 它都能夠交出
[41:21] 比較穩定的報酬率
[41:23] 等於行情動蕩大
[41:24] 大家可能看重視
[41:25] 市值的穩對不對
[41:27] 但是我行情拉開來的時候
[41:28] 又希望動能可以幫忙加分
[41:30] 所以這兩件事情
[41:31] 要扛爆一在一起
[41:32] 對 所以大家就很好奇
[41:33] 它為什麼可以表現得比較好
[41:35] 那我們來看一下
[41:36] 它的所謂的選股因子
[41:38] 透過五大篩選因子
[41:40] 來做一個參考
[41:41] 那當然一般來講
[41:42] 它是所謂的市值型
[41:43] 所以一定會含市值的規模
[41:45] 還是要有市值
[41:46] 對 聚焦在前15%的
[41:48] 指標型的企業
[41:49] 那另外我們講
[41:50] 它的一個動能所在
[41:51] 是來自於
[41:52] 它會去尋找所謂
[41:54] 成長性比較好的公司
[41:55] 根據未來12個月的
[41:57] EPS成長率
[41:59] 就是說過去它這12個月
[42:01] EPS成長率非常好的話
[42:02] 代表工程有沒有賺錢
[42:04] 所以如果以這個情況
[42:06] 去選擇
[42:07] 最近這三年
[42:08] 成長前15名的企業
[42:10] 去加入它的選股因子
[42:12] 就讓它的動能
[42:13] 會變得比較強一點
[42:14] 那另外也根據一些指標
[42:16] 像所謂近6個月的下股值
[42:18] 來去選擇
[42:19] 所謂強勢國會的成長性
[42:20] 比較好的一個企業
[42:21] 那根據所謂的本益比
[42:23] 去選擇相對合理的產業
[42:25] 另外也根據現金流量
[42:27] 所以比較不會選到
[42:28] 可能這個突然間
[42:29] 財報有遞了一些公司
[42:31] 透過這五大因子
[42:32] 選出來之後
[42:33] 大家可以發生到
[42:34] 它跟一般所謂
[42:35] 市值的英文最大的差別在哪裡
[42:37] 也就是說
[42:38] 它在所謂
[42:39] 6月份到9月份
[42:40] 它會重視價值因子的權重
[42:43] 6月份當然就是
[42:44] 除權席的旺季
[42:46] 這時候價值因子就很重要
[42:48] 對 它會希望說
[42:49] 剛剛提到
[42:50] 我們透過這樣的一個指標
[42:52] 選擇一些可能在當時
[42:53] 本益比相比比較低
[42:55] 評價比較合理的
[42:56] 那可能預測
[42:57] 它可能會配比較高的股息
[42:58] 所以大家可以發覺
[42:59] 這樣的選股因子
[43:00] 在今年7月份就非常受用
[43:02] 因為大盤在點時候
[43:04] 這種所謂高股息
[43:05] 就變成檯面上的
[43:06] 資金低風港
[43:07] 沒錯
[43:08] 所以它在這樣的情況裡面
[43:09] 6月份重視價值因子
[43:11] 希望能夠專到席
[43:12] 而且抵禦所謂
[43:13] 第三季的波動
[43:14] 那來到所謂
[43:15] 12月份就追求動能了
[43:16] 好 做夢的時候來了
[43:18] 追求動能很重要
[43:19] 所以它會選出什麼
[43:20] 就是第四季跟隔年
[43:23] 表現最強的時候
[43:24] 根據下普直
[43:25] 幫你選最強勢的個股
[43:27] 來參與台股的旺季行情
[43:29] 所以透過這兩個指標結合
[43:31] 我們會覺得說
[43:32] 它就是什麼
[43:33] 進化性的市值一天
[43:35] 對 同時兼顧
[43:36] 所謂的穩定性
[43:37] 又在所謂
[43:38] 該充斥積效的時候
[43:39] 幫你充斥比較好的積效
[43:41] 所以我覺得在這樣的情況裡面
[43:43] 當然大家就會想說
[43:44] 那到底選了什麼樣的股票
[43:46] 好 就可以兼顧到
[43:47] 下跌的時候我穩
[43:48] 充的時候我照樣充
[43:50] 對 因為剛剛提到
[43:51] 它選這個市值前十五大的公司
[43:53] 所以大家知道
[43:54] 你可以看到
[43:55] 基本上就是電子為主
[43:56] 因為現在是AI當島的時代
[43:58] 那當中它的半導體配股
[44:01] 搭配了大概將近快要六成
[44:02] 六成的半導體
[44:03] 對 然後像電腦周邊
[44:05] 到所謂其他的光電通訊等等
[44:07] 那飛電的比重
[44:09] 當然相對比較小一點
[44:10] 因為我們講台股的市值
[44:11] 就長這樣子嘛
[44:13] 那我們大致上可以去細究
[44:15] 它相關的一些權重股的表現
[44:17] 第一個 台積電
[44:18] 它權重是四十一點二
[44:20] 那我覺得這個就是
[44:21] 不是說最高的
[44:23] 但我覺得也是維持
[44:24] 跟整個一個台股的樣貌比較像
[44:27] 那現在的情況
[44:28] 大家發現到台積電
[44:29] 離地質都很近
[44:30] 我們希望它趕快表現一下
[44:33] 對 當然為什麼最近
[44:34] 這個所謂的
[44:35] 零零九八零三的積效比較好
